id,prompt_tokens,completion_tokens,total_tokens
RUT-gemini/gemini-2.5-flash-1.0-7,153,7077,7230
RUT-gemini/gemini-2.5-flash-1.0-30,360,8482,8842
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,152,8,160
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,359,8,367
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-7,152,8,160
RUT-bedrock/us.amazon.nova-lite-v1:0-0.5-30,359,8,367
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-7,152,8,160
RUT-bedrock/us.amazon.nova-lite-v1:0-1.0-30,359,8,367
RUT-gpt-3.5-turbo-0.0-7,134,26,160
RUT-gpt-3.5-turbo-0.0-30,272,4,276
RUT-gpt-3.5-turbo-0.5-7,134,26,160
RUT-gpt-3.5-turbo-0.5-30,272,4,276
RUT-gpt-3.5-turbo-1.0-7,134,4,138
RUT-gpt-3.5-turbo-1.0-30,272,4,276
GSPC-gemini/gemini-2.5-flash-0.0-7,148,5535,5683
GSPC-gemini/gemini-2.5-flash-0.0-30,355,7665,8020
GSPC-gemini/gemini-2.5-flash-0.5-7,148,2802,2950
GSPC-gemini/gemini-2.5-flash-0.5-30,355,9190,9545
GSPC-gemini/gemini-2.5-flash-1.0-7,148,5479,5627
GSPC-gemini/gemini-2.5-flash-1.0-30,355,7648,8003
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.0-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-0.5-30,352,8,360
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-7,145,8,153
GSPC-bedrock/us.amazon.nova-lite-v1:0-1.0-30,352,8,360
GSPC-gpt-3.5-turbo-0.0-7,127,4,131
GSPC-gpt-3.5-turbo-0.0-30,265,4,269
GSPC-gpt-3.5-turbo-0.5-7,127,22,149
GSPC-gpt-3.5-turbo-0.5-30,265,22,287
GSPC-gpt-3.5-turbo-1.0-7,127,22,149
GSPC-gpt-3.5-turbo-1.0-30,265,22,287
RUT-gemini/gemini-2.5-flash-0.0-7,154,4049,4203
RUT-gemini/gemini-2.5-flash-0.0-30,360,10963,11323
RUT-gemini/gemini-2.5-flash-0.5-7,154,5587,5741
RUT-gemini/gemini-2.5-flash-0.5-30,360,6756,7116
RUT-gemini/gemini-2.5-flash-1.0-7,154,3272,3426
RUT-gemini/gemini-2.5-flash-1.0-30,360,6560,6920
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-7,153,8,161
RUT-bedrock/us.amazon.nova-lite-v1:0-0.0-30,359,8,367
